sample_id,split,label,attention_entropy,answer_token_count_used
ragtruth_0,train,0,2.8486680388450623,136
ragtruth_1,train,0,2.7669878005981445,159
ragtruth_100,train,0,2.5659502744674683,46
ragtruth_1000,train,1,2.561900168657303,147
ragtruth_10000,train,1,2.5701717138290405,232
ragtruth_10001,train,1,2.422211229801178,198
ragtruth_10002,train,0,2.592562049627304,149
ragtruth_10003,train,0,2.7034904956817627,258
ragtruth_10004,train,1,2.48994043469429,135
ragtruth_10005,train,0,2.7082489728927612,166
ragtruth_10006,train,1,2.6158476173877716,182
ragtruth_10007,train,1,2.535229802131653,165
ragtruth_10008,train,0,2.410175621509552,184
ragtruth_10009,train,0,2.562743902206421,256
ragtruth_1001,train,0,2.6116969287395477,135
ragtruth_10010,train,1,2.515537202358246,219
ragtruth_10011,train,1,2.7027722895145416,295
ragtruth_10012,train,1,2.651120126247406,260
ragtruth_10013,train,1,2.5331628620624542,342
ragtruth_10014,train,0,2.475025236606598,165
ragtruth_10015,train,0,2.620113104581833,235
ragtruth_10016,train,0,2.6470905244350433,153
ragtruth_10017,train,0,2.6179986596107483,160
ragtruth_10018,train,1,2.575289934873581,257
ragtruth_10019,train,1,2.4739585518836975,158
ragtruth_10020,train,0,2.3788122832775116,170
ragtruth_10021,train,1,2.467677652835846,217
ragtruth_10022,train,1,2.4831870794296265,121
ragtruth_10023,train,1,2.4663968682289124,143
ragtruth_10024,train,1,2.4044543504714966,179
ragtruth_10025,train,1,2.437881290912628,159
ragtruth_10026,train,0,2.4945329427719116,150
ragtruth_10027,train,0,2.4964053332805634,282
ragtruth_10028,train,1,2.4395753741264343,209
ragtruth_10029,train,1,2.6849443912506104,280
ragtruth_10030,train,1,2.539762943983078,273
ragtruth_10031,train,1,2.4454223215579987,119
ragtruth_10032,train,0,2.4472937881946564,156
ragtruth_10033,train,1,2.429940104484558,207
ragtruth_10034,train,1,2.362313598394394,171
ragtruth_10035,train,1,2.6156347393989563,130
ragtruth_10036,train,1,2.710353523492813,214
ragtruth_10037,train,1,2.4769139289855957,144
ragtruth_10050,train,1,2.4824399650096893,169
ragtruth_10051,train,0,2.5707597136497498,311
ragtruth_10052,train,1,2.584814637899399,195
ragtruth_10053,train,1,2.7207546532154083,156
ragtruth_10054,train,1,2.5314398109912872,372
ragtruth_10055,train,0,2.700410008430481,156
ragtruth_10062,train,0,2.522938370704651,155
ragtruth_10063,train,1,2.5146208703517914,313
ragtruth_10064,train,1,2.4973540604114532,132
ragtruth_10065,train,1,2.479859173297882,188
ragtruth_10066,train,1,2.5552787482738495,306
ragtruth_10067,train,1,2.529416471719742,352
ragtruth_10068,train,0,2.6778034269809723,180
ragtruth_10069,train,0,2.5924381017684937,237
ragtruth_10070,train,1,2.6945285201072693,151
ragtruth_10071,train,1,2.7461198568344116,134
ragtruth_10072,train,0,2.637155205011368,217
ragtruth_10073,train,0,2.6758300065994263,171
ragtruth_10074,train,0,2.50092151761055,155
ragtruth_10075,train,0,2.6288020610809326,265
ragtruth_10076,train,1,2.638268232345581,124
ragtruth_10077,train,1,2.6959900856018066,200
ragtruth_10078,train,0,2.617511749267578,169
ragtruth_10079,train,1,2.508183538913727,219
ragtruth_1008,train,0,2.5494107604026794,152
ragtruth_10080,train,0,2.772709012031555,167
ragtruth_10081,train,0,2.557302087545395,284
ragtruth_10082,train,1,2.6644338369369507,184
ragtruth_10083,train,1,2.796192169189453,120
ragtruth_10084,train,1,2.857881009578705,190
ragtruth_10085,train,1,2.6425036191940308,314
ragtruth_10086,train,0,2.6587219536304474,151
ragtruth_10087,train,0,2.644200384616852,232
ragtruth_10088,train,1,2.5713614225387573,180
ragtruth_10089,train,1,2.7265273332595825,105
ragtruth_1009,train,0,2.559889942407608,304
ragtruth_10090,train,1,2.8576338291168213,127
ragtruth_10091,train,1,2.5023758113384247,174
ragtruth_10098,train,0,2.3800230026245117,148
ragtruth_10099,train,1,2.5172427594661713,225
ragtruth_101,train,0,2.6611128449440002,42
ragtruth_1010,train,0,2.336368441581726,188
ragtruth_10100,train,1,2.6471890211105347,145
ragtruth_10101,train,1,2.533059448003769,138
ragtruth_10102,train,1,2.5679138004779816,229
ragtruth_10103,train,1,2.4647433161735535,134
ragtruth_10104,train,0,2.522399067878723,178
ragtruth_10105,train,0,2.6027907729148865,226
ragtruth_10106,train,1,2.5258180499076843,192
ragtruth_10107,train,1,2.6145759224891663,178
ragtruth_10108,train,1,2.658194214105606,242
ragtruth_10109,train,1,2.63581719994545,162
ragtruth_1011,train,1,2.4255990386009216,222
ragtruth_10116,train,0,2.5481247901916504,193
ragtruth_10117,train,0,2.3993388414382935,272
ragtruth_10118,train,1,2.4122539460659027,138
ragtruth_10119,train,1,2.5160466730594635,223
ragtruth_1012,train,0,2.5598015785217285,141
ragtruth_10120,train,1,2.5587457418441772,269
ragtruth_10121,train,1,2.5636360943317413,200
ragtruth_1013,train,0,2.5268740355968475,196
ragtruth_10134,train,0,2.3753299713134766,181
ragtruth_10135,train,1,2.416685998439789,204
ragtruth_10136,train,1,2.1431884765625,83
ragtruth_10137,train,0,2.5034649670124054,123
ragtruth_10138,train,1,2.5591239035129547,272
ragtruth_10139,train,1,2.4266216456890106,246
ragtruth_10140,train,1,2.4106903076171875,183
ragtruth_10141,train,0,2.560784012079239,309
ragtruth_10142,train,1,2.4357022047042847,177
ragtruth_10143,train,1,2.518792301416397,166
ragtruth_10144,train,1,2.4698069989681244,183
ragtruth_10145,train,1,2.6097752153873444,231
ragtruth_10152,train,1,2.425513118505478,149
ragtruth_10153,train,0,2.6029787957668304,250
ragtruth_10154,train,0,2.564746856689453,135
ragtruth_10155,train,1,2.710273176431656,148
ragtruth_10156,train,1,2.558996081352234,318
ragtruth_10157,train,1,2.5235382318496704,165
ragtruth_10158,train,0,2.393841952085495,157
ragtruth_10159,train,0,2.5141805708408356,236
ragtruth_10160,train,1,2.495329409837723,219
ragtruth_10161,train,1,2.55979460477829,121
ragtruth_10162,train,1,2.418073892593384,175
ragtruth_10163,train,1,2.494317799806595,245
ragtruth_10170,train,0,2.5324257910251617,153
ragtruth_10171,train,0,2.6569401621818542,254
ragtruth_10172,train,1,2.547516942024231,122
ragtruth_10173,train,1,2.6246359944343567,152
ragtruth_10174,train,1,2.6259427666664124,197
ragtruth_10175,train,0,2.626837730407715,148
ragtruth_10176,train,0,2.551146984100342,169
ragtruth_10177,train,0,2.7050726413726807,280
ragtruth_10178,train,1,2.6379992365837097,132
ragtruth_10179,train,1,2.566103160381317,185
ragtruth_10180,train,1,2.6197548508644104,293
ragtruth_10181,train,1,2.6467068791389465,132
ragtruth_102,train,0,2.529968947172165,201
ragtruth_1020,train,0,2.4284180402755737,198
ragtruth_10200,train,0,2.5637282729148865,181
ragtruth_10201,train,1,2.6308084428310394,259
ragtruth_10202,train,1,2.529589533805847,222
ragtruth_10203,train,1,2.689378798007965,157
ragtruth_10204,train,1,2.6649422645568848,142
ragtruth_10205,train,1,2.587161898612976,205
ragtruth_10206,train,0,2.5082530677318573,143
ragtruth_10207,train,0,2.713037848472595,255
ragtruth_10208,train,0,2.5440870225429535,139
ragtruth_10209,train,1,2.655753970146179,149
ragtruth_1021,train,0,2.3519605100154877,273
ragtruth_10210,train,0,2.7206092476844788,166
ragtruth_10211,train,1,2.5819567441940308,153
ragtruth_10212,train,0,2.6723873019218445,144
ragtruth_10213,train,1,2.6880591213703156,177
ragtruth_10214,train,1,2.70101261138916,156
ragtruth_10215,train,1,2.7010696828365326,120
ragtruth_10216,train,1,2.7780359983444214,190
ragtruth_10217,train,1,2.7325589656829834,191
ragtruth_10218,train,0,2.5593974590301514,193
ragtruth_10219,train,0,2.718269109725952,293
ragtruth_1022,train,1,2.4361017644405365,120
ragtruth_10220,train,1,2.737256109714508,362
