sample_id,split,label,logit_confidence,answer_token_count_used
ragtruth_0,train,0,0.43287771940231323,136
ragtruth_1,train,0,0.44633427262306213,159
ragtruth_100,train,0,0.5314347743988037,46
ragtruth_1000,train,1,0.395932137966156,147
ragtruth_10000,train,1,0.46502646803855896,232
ragtruth_10001,train,1,0.4608190655708313,198
ragtruth_10002,train,0,0.40764597058296204,149
ragtruth_10003,train,0,0.4175315797328949,258
ragtruth_10004,train,1,0.4470890462398529,135
ragtruth_10005,train,0,0.3989815413951874,166
ragtruth_10006,train,1,0.4226754903793335,182
ragtruth_10007,train,1,0.45212772488594055,165
ragtruth_10008,train,0,0.3746950626373291,184
ragtruth_10009,train,0,0.3995347321033478,256
ragtruth_1001,train,0,0.45986056327819824,135
ragtruth_10010,train,1,0.392653226852417,219
ragtruth_10011,train,1,0.4090355634689331,295
ragtruth_10012,train,1,0.4083843231201172,260
ragtruth_10013,train,1,0.4301493763923645,342
ragtruth_10014,train,0,0.4056260883808136,165
ragtruth_10015,train,0,0.4558662474155426,235
ragtruth_10016,train,0,0.41560259461402893,153
ragtruth_10017,train,0,0.4568018317222595,160
ragtruth_10018,train,1,0.4359451234340668,257
ragtruth_10019,train,1,0.42916396260261536,158
ragtruth_10020,train,0,0.45279213786125183,170
ragtruth_10021,train,1,0.48376113176345825,217
ragtruth_10022,train,1,0.47874054312705994,121
ragtruth_10023,train,1,0.44710713624954224,143
ragtruth_10024,train,1,0.4593453109264374,179
ragtruth_10025,train,1,0.44234034419059753,159
ragtruth_10026,train,0,0.41621872782707214,150
ragtruth_10027,train,0,0.43209853768348694,282
ragtruth_10028,train,1,0.40824997425079346,209
ragtruth_10029,train,1,0.4035745859146118,280
ragtruth_10030,train,1,0.4225017726421356,273
ragtruth_10031,train,1,0.42827433347702026,119
ragtruth_10032,train,0,0.38634422421455383,156
ragtruth_10033,train,1,0.4879685640335083,207
ragtruth_10034,train,1,0.42661869525909424,171
ragtruth_10035,train,1,0.44734877347946167,130
ragtruth_10036,train,1,0.39575397968292236,214
ragtruth_10037,train,1,0.4504871368408203,144
ragtruth_10050,train,1,0.4409651756286621,169
ragtruth_10051,train,0,0.42813557386398315,311
ragtruth_10052,train,1,0.42208847403526306,195
ragtruth_10053,train,1,0.41899988055229187,156
ragtruth_10054,train,1,0.44937682151794434,372
ragtruth_10055,train,0,0.40869536995887756,156
ragtruth_10062,train,0,0.3974788784980774,155
ragtruth_10063,train,1,0.4508528411388397,313
ragtruth_10064,train,1,0.41491997241973877,132
ragtruth_10065,train,1,0.44786152243614197,188
ragtruth_10066,train,1,0.423480361700058,306
ragtruth_10067,train,1,0.4466049075126648,352
ragtruth_10068,train,0,0.38264432549476624,180
ragtruth_10069,train,0,0.4042871594429016,237
ragtruth_10070,train,1,0.40332889556884766,151
ragtruth_10071,train,1,0.4043135643005371,134
ragtruth_10072,train,0,0.4348602592945099,217
ragtruth_10073,train,0,0.4060291051864624,171
